# Supplementary Table 2 of Oguri et al. PASJ (arXiv:1701.00818)
# CAMIRA HSC S16A Wide cluster catalog (with bright star mask)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
   78 HSCJ020623-053823  31.597601  -5.639781 0.7441  28.077 -1.0
   79 HSCJ020625-053731  31.602930  -5.625239 0.5979  15.377 0.59697
   80 HSCJ020632-030926  31.634559  -3.157172 0.4409  21.717 -1.0
   81 HSCJ020642-033105  31.674990  -3.518089 0.5980  19.326 0.61271
   82 HSCJ020654-022328  31.726441  -2.391167 1.0820  17.671 -1.0
   83 HSCJ020657-033540  31.735721  -3.594511 0.6882  22.285 0.68180
   84 HSCJ020706-043645  31.776959  -4.612432 0.9120  17.921 -1.0
   85 HSCJ020707-032013  31.777689  -3.336948 0.4503  18.215 0.43727
   86 HSCJ020708-025809  31.783295  -2.969236 0.9900  38.058 -1.0
   87 HSCJ020709-041949  31.786000  -4.330149 0.5653  17.844 0.59502
   88 HSCJ020713-053146  31.802197  -5.529322 0.6136  18.766 0.62380
   89 HSCJ020714-061700  31.809540  -6.283370 0.7911  15.219 -1.0
   90 HSCJ020803-044352  32.010797  -4.731108 0.7161  23.254 -1.0
   91 HSCJ020816-023724  32.067078  -2.623366 0.5220  30.784 0.51390
   92 HSCJ020820-025608  32.081572  -2.935453 0.9554  30.232 -1.0
   93 HSCJ020828-035913  32.118005  -3.986904 0.7800  17.645 -1.0
   94 HSCJ020829-045632  32.120672  -4.942294 0.3020  21.022 0.30751
   95 HSCJ020833-043315  32.136418  -4.554146 0.7611  31.448 -1.0
   96 HSCJ020841-035857  32.172542  -3.982627 0.2363  20.597 -1.0
   97 HSCJ020846-042625  32.192252  -4.440154 0.7699  30.269 -1.0
   98 HSCJ020847-024046  32.197706  -2.679320 0.5197  19.001 -1.0
   99 HSCJ020847-042439  32.197856  -4.410780 0.7093  15.629 -1.0
  100 HSCJ020900-031847  32.250610  -3.312922 0.5558  23.836 0.54365
  101 HSCJ020911-062043  32.296726  -6.345339 0.4780  17.908 0.48732
  102 HSCJ020913-030718  32.304568  -3.121683 0.4424  19.862 0.45078
  103 HSCJ020917-030548  32.318893  -3.096692 0.6719  22.895 -1.0
  104 HSCJ020924-055356  32.349824  -5.898982 0.7637  15.604 0.76802
  105 HSCJ020927-040457  32.362868  -4.082459 0.9986  18.905 -1.0
  106 HSCJ020936-022040  32.401065  -2.344481 0.7032  19.173 -1.0
  107 HSCJ020944-025145  32.432654  -2.862564 0.9800  24.235 -1.0
  108 HSCJ020945-032853  32.438581  -3.481261 0.9959  31.968 -1.0
  109 HSCJ020952-024357  32.468518  -2.732500 0.1989  23.950 0.21048
  110 HSCJ020954-032217  32.473037  -3.371514 0.9800  18.116 -1.0
  111 HSCJ020955-041246  32.479985  -4.212653 0.9553  19.016 -1.0
  112 HSCJ020959-053816  32.497016  -5.637882 0.9306  15.359 -1.0
  113 HSCJ021002-024221  32.506878  -2.705830 0.6859  24.107 -1.0
  114 HSCJ021008-030859  32.534532  -3.149779 0.2440  26.676 -1.0
  115 HSCJ021023-040245  32.596743  -4.045706 0.5800  18.823 0.59711
  116 HSCJ021034-051157  32.641862  -5.199078 0.8160  15.923 -1.0
  117 HSCJ021042-035936  32.676646  -3.993453 0.5000  15.305 0.49682
  118 HSCJ021044-055708  32.681655  -5.952127 0.5310  24.450 0.53585
  119 HSCJ021045-025718  32.686208  -2.955105 0.5324  19.938 0.52679
  120 HSCJ021050-023656  32.707933  -2.615623 0.8667  16.483 -1.0
  121 HSCJ021056-061154  32.735004  -6.198427 0.4340  40.879 0.42924
  122 HSCJ021101-045128  32.752925  -4.857893 0.1413  18.809 -1.0
  123 HSCJ021101-034738  32.755051  -3.793888 1.0441  15.670 -1.0
  124 HSCJ021102-031114  32.758164  -3.187261 0.8259  15.460 -1.0
  125 HSCJ021104-052929  32.766958  -5.491506 0.6540  23.196 -1.0
  126 HSCJ021105-031844  32.769152  -3.312108 0.2406  21.928 -1.0
  127 HSCJ021111-042041  32.793791  -4.344739 0.4283  26.330 0.44328
  128 HSCJ021115-034319  32.813522  -3.721935 0.7452  52.363 -1.0
  129 HSCJ021119-032959  32.828389  -3.499799 0.8745  15.372 -1.0
  130 HSCJ021120-033711  32.833605  -3.619809 1.0851  16.797 -1.0
  131 HSCJ021129-051234  32.872260  -5.209356 0.9145  19.561 -1.0
  132 HSCJ021148-020350  32.951817  -2.063787 0.7084  17.359 -1.0
  133 HSCJ021153-061833  32.970625  -6.309131 0.8132  17.377 0.81653
  134 HSCJ021156-021154  32.983937  -2.198223 0.7061  17.625 -1.0
  135 HSCJ021201-034646  33.006226  -3.779460 0.7527  15.158 -1.0
  136 HSCJ021206-023645  33.022943  -2.612551 0.5940  16.334 0.61557
  137 HSCJ021208-022922  33.033794  -2.489440 0.6820  15.615 -1.0
  138 HSCJ021213-060726  33.052662  -6.123803 0.7315  15.624 -1.0
  139 HSCJ021223-061052  33.094579  -6.180996 0.4191  22.887 0.42678
  140 HSCJ021227-053505  33.110826  -5.584683 0.2881  58.476 -1.0
  141 HSCJ021231-050832  33.128363  -5.142270 0.9261  19.392 -1.0
  142 HSCJ021234-040732  33.142533  -4.125580 0.6280  19.201 -1.0
  143 HSCJ021242-055528  33.174324  -5.924513 0.7421  31.236 -1.0
  144 HSCJ021243-031906  33.177613  -3.318462 0.4800  20.679 -1.0
  145 HSCJ021308-030441  33.283600  -3.078110 0.6060  16.282 -1.0
  146 HSCJ021309-030726  33.287526  -3.123762 0.2480  18.316 0.24789
  147 HSCJ021319-031826  33.330779  -3.307146 0.8691  16.937 -1.0
  148 HSCJ021322-060445  33.342882  -6.079151 0.6841  42.872 -1.0
  149 HSCJ021325-055126  33.353159  -5.857262 1.0520  16.796 -1.0
  150 HSCJ021327-025214  33.360922  -2.870561 0.1480  28.231 -1.0
  151 HSCJ021328-051146  33.368268  -5.196242 0.4447  18.399 0.44201
