# CAMIRA HSC S20A Wide cluster catalog without star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
   80 HSCJ000818-003921   2.074497  -0.655767 0.5610  40.985 0.55565
   81 HSCJ000826+002111   2.108982   0.352985 0.6920  17.497 0.68079
   82 HSCJ000842+020429   2.174459   2.074779 0.6219  15.455 -1.0
   83 HSCJ000849+005445   2.203877   0.912386 0.9320  19.528 -1.0
   84 HSCJ000852+005912   2.218727   0.986699 1.1843  16.379 -1.0
   85 HSCJ000854+011717   2.223359   1.288075 0.6220  32.816 -1.0
   86 HSCJ000854+001807   2.224605   0.302034 0.5972  23.388 -1.0
   87 HSCJ000914+002545   2.309018   0.429036 0.6220  15.225 0.61354
   88 HSCJ000914+014727   2.309518   1.790878 0.8020  25.289 -1.0
   89 HSCJ000918+020706   2.325301   2.118310 0.8252  21.293 -1.0
   90 HSCJ000941+002530   2.419327   0.425027 0.1860  18.969 0.18784
   91 HSCJ001016+003912   2.564594   0.653282 0.3630  15.436 0.36415
   92 HSCJ001035+005634   2.644386   0.942866 0.9226  18.521 -1.0
   93 HSCJ001036-000832   2.648726  -0.142225 0.8812  15.379 -1.0
   94 HSCJ001043+015128   2.681161   1.857887 0.6557  29.824 -1.0
   95 HSCJ001138+015827   2.907631   1.974231 0.6200  22.676 -1.0
   96 HSCJ001146+013031   2.942901   1.508679 1.1743  16.269 -1.0
   97 HSCJ001204+002558   3.017746   0.432714 0.9051  16.925 -1.0
   98 HSCJ001218+011544   3.074188   1.262263 0.2540  16.062 0.25648
   99 HSCJ001229-001320   3.120822  -0.222344 0.4101  17.184 0.40462
  100 HSCJ001244+013457   3.183523   1.582545 0.5015  16.511 0.50905
  101 HSCJ001251+001725   3.212409   0.290344 0.1580  18.067 0.14759
  102 HSCJ001253+002000   3.219411   0.333415 0.3800  15.832 0.42365
  103 HSCJ001257+004131   3.236874   0.691932 0.1526  21.042 0.14757
  104 HSCJ001306+003140   3.274331   0.527904 0.4805  18.057 -1.0
  105 HSCJ001308+023219   3.285028   2.538514 0.7143  19.888 -1.0
  106 HSCJ001309+020742   3.286030   2.128274 0.3230  18.398 0.33554
  107 HSCJ001332+015625   3.382128   1.940166 0.3660  25.246 0.37911
  108 HSCJ001359+022142   3.494154   2.361744 0.8097  17.497 -1.0
  109 HSCJ001400+022711   3.501430   2.453163 0.3338  31.400 0.33669
  110 HSCJ001423+022505   3.595651   2.418028 0.8940  19.649 -1.0
  111 HSCJ001454+011248   3.722994   1.213442 0.8245  15.397 0.83573
  112 HSCJ001514+010614   3.808973   1.103856 1.0520  20.598 -1.0
  113 HSCJ001519+013005   3.831054   1.501481 0.3620  19.253 -1.0
  114 HSCJ001524+000913   3.848835   0.153570 0.4439  26.270 0.44400
  115 HSCJ001525+022621   3.854745   2.439125 0.7376  17.145 -1.0
  116 HSCJ001526+013252   3.856785   1.547772 0.5884  16.784 -1.0
  117 HSCJ001536-000657   3.899930  -0.115872 1.2904  16.048 -1.0
  118 HSCJ001542+014920   3.927080   1.822164 0.3077  23.855 0.29236
  119 HSCJ001624-003509   4.101254  -0.585841 1.0420  15.712 -1.0
  120 HSCJ001628-003443   4.117432  -0.578692 0.7523  21.744 -1.0
  121 HSCJ001710+012210   4.292726   1.369342 0.7640  15.534 -1.0
  122 HSCJ001759-001755   4.494862  -0.298741 0.7612  15.087 -1.0
  123 HSCJ001800+021433   4.499619   2.242596 0.2600  17.617 0.26831
  124 HSCJ001808+001311   4.534012   0.219749 0.7454  15.460 -1.0
  125 HSCJ001818-002246   4.576986  -0.379398 0.7980  32.743 -1.0
  126 HSCJ001822+020122   4.591599   2.022651 0.6160  22.999 0.62511
  127 HSCJ001832-001315   4.632758  -0.220785 0.1970  16.308 0.19236
  128 HSCJ001833+001914   4.639457   0.320462 1.1151  15.121 -1.0
  129 HSCJ001949+012506   4.954165   1.418335 0.3480  15.061 -1.0
  130 HSCJ001956+012109   4.984937   1.352525 0.1037  34.230 -1.0
  131 HSCJ001958+002937   4.990899   0.493688 0.4381  23.166 0.44160
  132 HSCJ002027+000648   5.114185   0.113370 0.2084  47.134 -1.0
  133 HSCJ002041+013547   5.171327   1.596498 1.1290  15.903 -1.0
  134 HSCJ002042+013322   5.174391   1.556007 0.2204  43.721 -1.0
  135 HSCJ002043+020227   5.179481   2.040696 0.2782  56.261 0.26781
  136 HSCJ002046+013534   5.190627   1.592829 0.5700  16.795 -1.0
  137 HSCJ002057+021056   5.237691   2.182233 0.8850  15.760 -1.0
  138 HSCJ002110+021412   5.290686   2.236570 1.0920  15.814 -1.0
